runtime, var  , query , n_s , n_st , timerange
10.081 , 2.219 , q5 , 1 , 6 , minute
48.589 , 5.68 , q5 , 1 , 6 , hour
868.922 , 57.874 , q5 , 1 , 6 , day
5994.927 , 75.079 , q5 , 1 , 6 , week
15.395 , 6.877 , q5 , 1 , 8 , minute
67.227 , 18.85 , q5 , 1 , 8 , hour
1161.575 , 55.752 , q5 , 1 , 8 , day
5961.851 , 142.243 , q5 , 1 , 8 , week
13.158 , 5.928 , q5 , 1 , 10 , minute
69.338 , 5.639 , q5 , 1 , 10 , hour
1456.419 , 57.134 , q5 , 1 , 10 , day
10108.568 , 171.437 , q5 , 1 , 10 , week
31.466 , 10.649 , q5 , 20 , 2 , minute
125.545 , 8.004 , q5 , 20 , 2 , hour
2327.505 , 46.855 , q5 , 20 , 2 , day
16947.032 , 155.487 , q5 , 20 , 2 , week
65.908 , 23.558 , q5 , 20 , 4 , minute
247.94 , 3.773 , q5 , 20 , 4 , hour
4805.271 , 71.626 , q5 , 20 , 4 , day
35104.015 , 407.519 , q5 , 20 , 4 , week
75.911 , 35.831 , q5 , 20 , 6 , minute
345.936 , 8.645 , q5 , 20 , 6 , hour
7310.913 , 86.801 , q5 , 20 , 6 , day
53372.402 , 459.679 , q5 , 20 , 6 , week
116.109 , 77.263 , q5 , 20 , 8 , minute
485.702 , 18.097 , q5 , 20 , 8 , hour
9928.112 , 120.17 , q5 , 20 , 8 , day
72503.392 , 420.939 , q5 , 20 , 8 , week
158.597 , 100.643 , q5 , 20 , 10 , minute
615.169 , 13.881 , q5 , 20 , 10 , hour
13018.139 , 159.204 , q5 , 20 , 10 , day
91938.466 , 688.319 , q5 , 20 , 10 , week
60.111 , 5.996 , q5 , 40 , 2 , minute
243.15 , 22.092 , q5 , 40 , 2 , hour
4642.453 , 52.656 , q5 , 40 , 2 , day
33672.822 , 173.1 , q5 , 40 , 2 , week
92.684 , 12.558 , q5 , 40 , 4 , minute
457.222 , 10.84 , q5 , 40 , 4 , hour
9655.877 , 92.864 , q5 , 40 , 4 , day
69492.155 , 584.489 , q5 , 40 , 4 , week
169.797 , 22.103 , q5 , 40 , 6 , minute
726.038 , 12.126 , q5 , 40 , 6 , hour
14485.475 , 89.391 , q5 , 40 , 6 , day
104749.775 , 1103.365 , q5 , 40 , 6 , week
235.997 , 46.56 , q5 , 40 , 8 , minute
969.684 , 5.556 , q5 , 40 , 8 , hour
19629.033 , 127.874 , q5 , 40 , 8 , day
143387.009 , 1311.21 , q5 , 40 , 8 , week
196.052 , 84.312 , q5 , 40 , 10 , minute
1177.114 , 82.093 , q5 , 40 , 10 , hour
25230.365 , 276.266 , q5 , 40 , 10 , day
182374.832 , 1113.676 , q5 , 40 , 10 , week
104.219 , 7.354 , q5 , 60 , 2 , minute
432.129 , 170.469 , q5 , 60 , 2 , hour
6826.186 , 41.428 , q5 , 60 , 2 , day
20063.967 , 363.619 , q5 , 60 , 2 , week
156.861 , 7.189 , q5 , 60 , 4 , minute
710.761 , 11.554 , q5 , 60 , 4 , hour
14218.151 , 72.231 , q5 , 60 , 4 , day
102805.682 , 868.533 , q5 , 60 , 4 , week
207.591 , 16.979 , q5 , 60 , 6 , minute
1049.657 , 15.205 , q5 , 60 , 6 , hour
21775.966 , 171.032 , q5 , 60 , 6 , day
158131.992 , 1096.889 , q5 , 60 , 6 , week
307.62 , 52.948 , q5 , 60 , 8 , minute
1422.166 , 16.746 , q5 , 60 , 8 , hour
29507.423 , 210.348 , q5 , 60 , 8 , day
213674.5 , 2461.24 , q5 , 60 , 8 , week
386.364 , 170.298 , q5 , 60 , 10 , minute
1731.424 , 11.648 , q5 , 60 , 10 , hour
37437.885 , 290.555 , q5 , 60 , 10 , day
272504.51 , 1705.851 , q5 , 60 , 10 , week
105.594 , 3.973 , q5 , 80 , 2 , minute
551.851 , 243.103 , q5 , 80 , 2 , hour
9283.968 , 61.692 , q5 , 80 , 2 , day
66443.765 , 425.766 , q5 , 80 , 2 , week
252.55 , 14.011 , q5 , 80 , 4 , minute
975.176 , 15.753 , q5 , 80 , 4 , hour
18895.398 , 172.738 , q5 , 80 , 4 , day
66753.835 , 728.595 , q5 , 80 , 4 , week
224.814 , 25.441 , q5 , 80 , 6 , minute
1360.242 , 15.187 , q5 , 80 , 6 , hour
28982.428 , 251.296 , q5 , 80 , 6 , day
210378.639 , 1758.521 , q5 , 80 , 6 , week
392.89 , 112.012 , q5 , 80 , 8 , minute
1861.02 , 12.911 , q5 , 80 , 8 , hour
39479.128 , 230.108 , q5 , 80 , 8 , day
287594.94 , 1690.928 , q5 , 80 , 8 , week
595.458 , 193.003 , q5 , 80 , 10 , minute
2425.868 , 18.732 , q5 , 80 , 10 , hour
49802.294 , 428.193 , q5 , 80 , 10 , day
364400.18 , 2132.828 , q5 , 80 , 10 , week
199.925 , 153.504 , q5 , 100 , 2 , minute
623.291 , 88.865 , q5 , 100 , 2 , hour
11696.348 , 110.072 , q5 , 100 , 2 , day
82971.215 , 645.626 , q5 , 100 , 2 , week
146.505 , 10.019 , q5 , 100 , 4 , minute
1109.262 , 26.152 , q5 , 100 , 4 , hour
24007.575 , 238.009 , q5 , 100 , 4 , day
172010.174 , 832.985 , q5 , 100 , 4 , week
231.832 , 71.322 , q5 , 100 , 6 , minute
1627.253 , 8.542 , q5 , 100 , 6 , hour
36298.217 , 377.452 , q5 , 100 , 6 , day
264585.067 , 2064.371 , q5 , 100 , 6 , week
439.021 , 102.935 , q5 , 100 , 8 , minute
2332.378 , 36.655 , q5 , 100 , 8 , hour
50209.761 , 432.694 , q5 , 100 , 8 , day
362016.761 , 2352.201 , q5 , 100 , 8 , week
715.765 , 193.7 , q5 , 100 , 10 , minute
3034.554 , 20.988 , q5 , 100 , 10 , hour
63140.792 , 754.345 , q5 , 100 , 10 , day
456601.381 , 2803.338 , q5 , 100 , 10 , week
3.376 , 0.869 , q6 , 1 , 2 , minute
12.617 , 1.127 , q6 , 1 , 2 , hour
131.838 , 4.658 , q6 , 1 , 2 , day
967.352 , 59.963 , q6 , 1 , 2 , week
5.694 , 7.26 , q6 , 1 , 4 , minute
20.06 , 1.545 , q6 , 1 , 4 , hour
261.349 , 30.794 , q6 , 1 , 4 , day
1905.48 , 98.753 , q6 , 1 , 4 , week
4.367 , 0.589 , q6 , 1 , 6 , minute
29.67 , 3.542 , q6 , 1 , 6 , hour
400.577 , 29.407 , q6 , 1 , 6 , day
2809.866 , 57.254 , q6 , 1 , 6 , week
5.478 , 0.36 , q6 , 1 , 8 , minute
30.995 , 2.281 , q6 , 1 , 8 , hour
500.478 , 25.416 , q6 , 1 , 8 , day
930.7 , 43.583 , q6 , 1 , 8 , week
6.333 , 1.206 , q6 , 1 , 10 , minute
44.845 , 11.004 , q6 , 1 , 10 , hour
643.515 , 40.292 , q6 , 1 , 10 , day
4640.784 , 125.614 , q6 , 1 , 10 , week
3.837 , 0.266 , q6 , 20 , 2 , minute
13.618 , 0.906 , q6 , 20 , 2 , hour
131.261 , 11.115 , q6 , 20 , 2 , day
962.448 , 43.797 , q6 , 20 , 2 , week
5.52 , 3.689 , q6 , 20 , 4 , minute
20.846 , 3.156 , q6 , 20 , 4 , hour
258.185 , 28.595 , q6 , 20 , 4 , day
1865.592 , 63.999 , q6 , 20 , 4 , week
4.601 , 0.46 , q6 , 20 , 6 , minute
28.084 , 1.448 , q6 , 20 , 6 , hour
381.068 , 25.294 , q6 , 20 , 6 , day
2842.085 , 67.119 , q6 , 20 , 6 , week
4.953 , 0.857 , q6 , 20 , 8 , minute
36.498 , 5.828 , q6 , 20 , 8 , hour
513.767 , 36.33 , q6 , 20 , 8 , day
3718.31 , 65.509 , q6 , 20 , 8 , week
5.866 , 0.25 , q6 , 20 , 10 , minute
39.946 , 3.122 , q6 , 20 , 10 , hour
675.839 , 29.735 , q6 , 20 , 10 , day
4674.353 , 93.548 , q6 , 20 , 10 , week
3.945 , 0.281 , q6 , 40 , 2 , minute
12.745 , 1.039 , q6 , 40 , 2 , hour
131.382 , 5.214 , q6 , 40 , 2 , day
941.926 , 29.062 , q6 , 40 , 2 , week
3.943 , 0.365 , q6 , 40 , 4 , minute
22.149 , 2.115 , q6 , 40 , 4 , hour
248.982 , 20.449 , q6 , 40 , 4 , day
1893.164 , 43.716 , q6 , 40 , 4 , week
4.028 , 0.669 , q6 , 40 , 6 , minute
26.665 , 2.225 , q6 , 40 , 6 , hour
394.719 , 36.537 , q6 , 40 , 6 , day
2829.553 , 88.329 , q6 , 40 , 6 , week
4.724 , 0.477 , q6 , 40 , 8 , minute
33.477 , 2.036 , q6 , 40 , 8 , hour
513.985 , 25.12 , q6 , 40 , 8 , day
3700.05 , 55.915 , q6 , 40 , 8 , week
6.163 , 0.225 , q6 , 40 , 10 , minute
37.492 , 3.361 , q6 , 40 , 10 , hour
630.823 , 32.302 , q6 , 40 , 10 , day
4644.251 , 101.043 , q6 , 40 , 10 , week
3.86 , 0.212 , q6 , 60 , 2 , minute
12.785 , 1.474 , q6 , 60 , 2 , hour
132.195 , 9.001 , q6 , 60 , 2 , day
248.377 , 29.954 , q6 , 60 , 2 , week
3.884 , 0.688 , q6 , 60 , 4 , minute
21.407 , 4.062 , q6 , 60 , 4 , hour
267.117 , 29.299 , q6 , 60 , 4 , day
1912.998 , 90.776 , q6 , 60 , 4 , week
4.927 , 0.429 , q6 , 60 , 6 , minute
31.968 , 14.844 , q6 , 60 , 6 , hour
384.419 , 31.407 , q6 , 60 , 6 , day
2833.435 , 75.603 , q6 , 60 , 6 , week
5.259 , 0.564 , q6 , 60 , 8 , minute
32.835 , 2.49 , q6 , 60 , 8 , hour
518.657 , 34.537 , q6 , 60 , 8 , day
3732.885 , 79.478 , q6 , 60 , 8 , week
5.844 , 0.513 , q6 , 60 , 10 , minute
37.274 , 3.85 , q6 , 60 , 10 , hour
647.271 , 34.238 , q6 , 60 , 10 , day
4629.38 , 127.063 , q6 , 60 , 10 , week
3.587 , 0.601 , q6 , 80 , 2 , minute
13.187 , 1.015 , q6 , 80 , 2 , hour
134.738 , 16.929 , q6 , 80 , 2 , day
972.413 , 53.417 , q6 , 80 , 2 , week
4.056 , 0.661 , q6 , 80 , 4 , minute
23.219 , 1.099 , q6 , 80 , 4 , hour
257.358 , 26.803 , q6 , 80 , 4 , day
690.018 , 21.355 , q6 , 80 , 4 , week
3.857 , 0.629 , q6 , 80 , 6 , minute
25.33 , 1.654 , q6 , 80 , 6 , hour
378.713 , 26.303 , q6 , 80 , 6 , day
2825.115 , 70.819 , q6 , 80 , 6 , week
4.689 , 0.9 , q6 , 80 , 8 , minute
